A000000,What does the Greek word **aeido (αειδω)** mean?,to sing
A000001,What Greek word means **to sing**?,aeido (αειδω)
A000002,What is the Greek root of the word **comedy**?,aeido (αειδω)> to sing
A000003,What is the meaning of the Greek root of the word **comedy**?,to sing... aeido (αειδω)
A000004,What is the Greek root of the word **melody**?,aeido (αειδω)> to sing
A000005,What is the meaning of the Greek root of the word **melody**?,to sing... aeido (αειδω)
A000006,What is the Greek root of the word **ode**?,aeido (αειδω)> to sing
A000007,What is the meaning of the Greek root of the word **ode**?,to sing... aeido (αειδω)
A000008,What is the Greek root of the word **parody**?,aeido (αειδω)> to sing
A000009,What is the meaning of the Greek root of the word **parody**?,to sing... aeido (αειδω)
A000010,What is the Greek root of the word **prosody**?,aeido (αειδω)> to sing
A000011,What is the meaning of the Greek root of the word **prosody**?,to sing... aeido (αειδω)
A000012,What is the Greek root of the word **psalmody**?,aeido (αειδω)> to sing
A000013,What is the meaning of the Greek root of the word **psalmody**?,to sing... aeido (αειδω)
A000014,What is the Greek root of the word **rhapsody**?,aeido (αειδω)> to sing
A000015,What is the meaning of the Greek root of the word **rhapsody**?,to sing... aeido (αειδω)
A000016,What is the Greek root of the word **tragedy**?,aeido (αειδω)> to sing
A000017,What is the meaning of the Greek root of the word **tragedy**?,to sing... aeido (αειδω)
A000018,What does the Greek word **ago (αγω)** mean?,to lead> bring
A000019,What Greek word means **to lead> bring**?,ago (αγω)
A000020,What is the Greek root of the word **demagogue**?,demos (δημος)> the people; ago (αγω)> to lead> bring
A000021,What is the meaning of the Greek root of the word **demagogue**?,the people... demos (δημος); to lead> bring... ago (αγω)
A000022,What is the Greek root of the word **pedagogue**?,pais (παις)> child; ago (αγω)> to lead> bring
A000023,What is the meaning of the Greek root of the word **pedagogue**?,child... pais (παις); to lead> bring... ago (αγω)
A000024,What is the Greek root of the word **pedant**?,ago (αγω)> to lead> bring
A000025,What is the meaning of the Greek root of the word **pedant**?,to lead> bring... ago (αγω)
A000026,What is the Greek root of the word **pedantic**?,ago (αγω)> to lead> bring
A000027,What is the meaning of the Greek root of the word **pedantic**?,to lead> bring... ago (αγω)
A000028,What is the Greek root of the word **stratagem**?,ago (αγω)> to lead> bring
A000029,What is the meaning of the Greek root of the word **stratagem**?,to lead> bring... ago (αγω)
A000030,What is the Greek root of the word **strategic**?,ago (αγω)> to lead> bring
A000031,What is the meaning of the Greek root of the word **strategic**?,to lead> bring... ago (αγω)
A000032,What is the Greek root of the word **synagogue**?,ago (αγω)> to lead> bring
A000033,What is the meaning of the Greek root of the word **synagogue**?,to lead> bring... ago (αγω)
A000034,What does the Greek word **agon (αγων)** mean?,contest> struggle
A000035,What Greek word means **contest> struggle**?,agon (αγων)
A000036,What is the Greek root of the word **agony**?,agon (αγων)> contest> struggle
A000037,What is the meaning of the Greek root of the word **agony**?,contest> struggle... agon (αγων)
A000038,What is the Greek root of the word **antagonist**?,agon (αγων)> contest> struggle
A000039,What is the meaning of the Greek root of the word **antagonist**?,contest> struggle... agon (αγων)
A000040,What is the Greek root of the word **antagonize**?,agon (αγων)> contest> struggle
A000041,What is the meaning of the Greek root of the word **antagonize**?,contest> struggle... agon (αγων)
A000042,What does the Greek word **algos (αλγος)** mean?,pain
A000043,What Greek word means **pain**?,algos (αλγος)
A000044,What is the Greek root of the word **analgesic**?,algos (αλγος)> pain
A000045,What is the meaning of the Greek root of the word **analgesic**?,pain... algos (αλγος)
A000046,What is the Greek root of the word **neuralgia**?,algos (αλγος)> pain
A000047,What is the meaning of the Greek root of the word **neuralgia**?,pain... algos (αλγος)
A000048,What is the Greek root of the word **nostalgia**?,algos (αλγος)> pain
A000049,What is the meaning of the Greek root of the word **nostalgia**?,pain... algos (αλγος)
A000050,What does the Greek word **allos (αλλος)** mean?,another
A000051,What Greek word means **another**?,allos (αλλος)
A000052,What is the Greek root of the word **allegory**?,allos (αλλος)> another
A000053,What is the meaning of the Greek root of the word **allegory**?,another... allos (αλλος)
A000054,What is the Greek root of the word **parallel**?,allos (αλλος)> another
A000055,What is the meaning of the Greek root of the word **parallel**?,another... allos (αλλος)
A000056,What is the Greek root of the word **parallelogram**?,allos (αλλος)> another
A000057,What is the meaning of the Greek root of the word **parallelogram**?,another... allos (αλλος)
A000058,What does the Greek word **angelos (αγγελος)** mean?,messenger
A000059,What Greek word means **messenger**?,angelos (αγγελος)
A000060,What is the Greek root of the word **angel**?,angelos (αγγελος)> messenger
A000061,What is the meaning of the Greek root of the word **angel**?,messenger... angelos (αγγελος)
A000062,What is the Greek root of the word **evangelical**?,angelos (αγγελος)> messenger
A000063,What is the meaning of the Greek root of the word **evangelical**?,messenger... angelos (αγγελος)
A000064,What is the Greek root of the word **evangelist**?,angelos (αγγελος)> messenger
A000065,What is the meaning of the Greek root of the word **evangelist**?,messenger... angelos (αγγελος)
A000066,What does the Greek word **anthropos (ανθρωπος)** mean?,man
A000067,What Greek word means **man**?,anthropos (ανθρωπος)
A000068,What is the Greek root of the word **anthropoid**?,anthropos (ανθρωπος)> man
A000069,What is the meaning of the Greek root of the word **anthropoid**?,man... anthropos (ανθρωπος)
A000070,What is the Greek root of the word **anthropology**?,logos (λογος)> word> speech> reasoning; anthropos (ανθρωπος)> man
A000071,What is the meaning of the Greek root of the word **anthropology**?,word> speech> reasoning... logos (λογος); man... anthropos (ανθρωπος)
A000072,What is the Greek root of the word **misanthrope**?,misos (μισος)> hatred; anthropos (ανθρωπος)> man
A000073,What is the meaning of the Greek root of the word **misanthrope**?,hatred... misos (μισος); man... anthropos (ανθρωπος)
A000074,What is the Greek root of the word **philanthropist**?,anthropos (ανθρωπος)> man
A000075,What is the meaning of the Greek root of the word **philanthropist**?,man... anthropos (ανθρωπος)
A000076,What does the Greek word **archo (αρχω)** mean?,to lead> rule> be the first> begin
A000077,What Greek word means **to lead> rule> be the first> begin**?,archo (αρχω)
A000078,What is the Greek root of the word **anarchy**?,archo (αρχω)> to lead> rule> be the first> begin
A000079,What is the meaning of the Greek root of the word **anarchy**?,to lead> rule> be the first> begin... archo (αρχω)
A000080,What is the Greek root of the word **archaeology**?,logos (λογος)> word> speech> reasoning; archo (αρχω)> to lead> rule> be the first> begin
A000081,What is the meaning of the Greek root of the word **archaeology**?,word> speech> reasoning... logos (λογος); to lead> rule> be the first> begin... archo (αρχω)
A000082,What is the Greek root of the word **archaic**?,archo (αρχω)> to lead> rule> be the first> begin
A000083,What is the meaning of the Greek root of the word **archaic**?,to lead> rule> be the first> begin... archo (αρχω)
A000084,What is the Greek root of the word **archangel**?,angelos (αγγελος)> messenger; archo (αρχω)> to lead> rule> be the first> begin
A000085,What is the meaning of the Greek root of the word **archangel**?,messenger... angelos (αγγελος); to lead> rule> be the first> begin... archo (αρχω)
A000086,What is the Greek root of the word **archbishop**?,skopeo (σκοπεω)> behold> examine> inspect> consider> see; archo (αρχω)> to lead> rule> be the first> begin
A000087,What is the meaning of the Greek root of the word **archbishop**?,behold> examine> inspect> consider> see... skopeo (σκοπεω); to lead> rule> be the first> begin... archo (αρχω)
A000088,What is the Greek root of the word **archipelago**?,archo (αρχω)> to lead> rule> be the first> begin
A000089,What is the meaning of the Greek root of the word **archipelago**?,to lead> rule> be the first> begin... archo (αρχω)
A000090,What is the Greek root of the word **architecture**?,archo (αρχω)> to lead> rule> be the first> begin
A000091,What is the meaning of the Greek root of the word **architecture**?,to lead> rule> be the first> begin... archo (αρχω)
A000092,What is the Greek root of the word **architrave**?,archo (αρχω)> to lead> rule> be the first> begin
A000093,What is the meaning of the Greek root of the word **architrave**?,to lead> rule> be the first> begin... archo (αρχω)
A000094,What is the Greek root of the word **archive**?,archo (αρχω)> to lead> rule> be the first> begin
A000095,What is the meaning of the Greek root of the word **archive**?,to lead> rule> be the first> begin... archo (αρχω)
A000096,What is the Greek root of the word **archon**?,archo (αρχω)> to lead> rule> be the first> begin
A000097,What is the meaning of the Greek root of the word **archon**?,to lead> rule> be the first> begin... archo (αρχω)
A000098,What is the Greek root of the word **hierarchy**?,archo (αρχω)> to lead> rule> be the first> begin
A000099,What is the meaning of the Greek root of the word **hierarchy**?,to lead> rule> be the first> begin... archo (αρχω)
A000100,What is the Greek root of the word **monarch**?,monos (μονος)> alone; archo (αρχω)> to lead> rule> be the first> begin
A000101,What is the meaning of the Greek root of the word **monarch**?,alone... monos (μονος); to lead> rule> be the first> begin... archo (αρχω)
A000102,What is the Greek root of the word **oligarch**?,archo (αρχω)> to lead> rule> be the first> begin
A000103,What is the meaning of the Greek root of the word **oligarch**?,to lead> rule> be the first> begin... archo (αρχω)
A000104,What is the Greek root of the word **patriarch**?,archo (αρχω)> to lead> rule> be the first> begin
A000105,What is the meaning of the Greek root of the word **patriarch**?,to lead> rule> be the first> begin... archo (αρχω)
A000106,What does the Greek word **aster (αστηρ)** mean?,star
A000107,What Greek word means **star**?,aster (αστηρ)
A000108,What is the Greek root of the word **asteroid**?,aster (αστηρ)> star
A000109,What is the meaning of the Greek root of the word **asteroid**?,star... aster (αστηρ)
A000110,What is the Greek root of the word **astrolabe**?,aster (αστηρ)> star
A000111,What is the meaning of the Greek root of the word **astrolabe**?,star... aster (αστηρ)
A000112,What is the Greek root of the word **astrology**?,aster (αστηρ)> star
A000113,What is the meaning of the Greek root of the word **astrology**?,star... aster (αστηρ)
A000114,What is the Greek root of the word **disaster**?,aster (αστηρ)> star
A000115,What is the meaning of the Greek root of the word **disaster**?,star... aster (αστηρ)
A000116,What does the Greek word **autos (αυτος)** mean?,self
A000117,What Greek word means **self**?,autos (αυτος)
A000118,What is the Greek root of the word **authentic**?,autos (αυτος)> self
A000119,What is the meaning of the Greek root of the word **authentic**?,self... autos (αυτος)
A000120,What is the Greek root of the word **auto**?,autos (αυτος)> self
A000121,What is the meaning of the Greek root of the word **auto**?,self... autos (αυτος)
A000122,What is the Greek root of the word **autobiography**?,bios (βιος)> life; autos (αυτος)> self
A000123,What is the meaning of the Greek root of the word **autobiography**?,life... bios (βιος); self... autos (αυτος)
A000124,What is the Greek root of the word **autocracy**?,autos (αυτος)> self
A000125,What is the meaning of the Greek root of the word **autocracy**?,self... autos (αυτος)
A000126,What is the Greek root of the word **automatic**?,autos (αυτος)> self
A000127,What is the meaning of the Greek root of the word **automatic**?,self... autos (αυτος)
A000128,What is the Greek root of the word **automobile**?,autos (αυτος)> self
A000129,What is the meaning of the Greek root of the word **automobile**?,self... autos (αυτος)
A000130,What does the Greek word **baino (βαινω)** mean?,to walk> step
A000131,What Greek word means **to walk> step**?,baino (βαινω)
A000132,What is the Greek root of the word **acrobat**?,baino (βαινω)> to walk> step
A000133,What is the meaning of the Greek root of the word **acrobat**?,to walk> step... baino (βαινω)
A000134,What is the Greek root of the word **basal**?,baino (βαινω)> to walk> step
A000135,What is the meaning of the Greek root of the word **basal**?,to walk> step... baino (βαινω)
A000136,What is the Greek root of the word **base**?,baino (βαινω)> to walk> step
A000137,What is the meaning of the Greek root of the word **base**?,to walk> step... baino (βαινω)
A000138,What is the Greek root of the word **baseboard**?,baino (βαινω)> to walk> step
A000139,What is the meaning of the Greek root of the word **baseboard**?,to walk> step... baino (βαινω)
A000140,What is the Greek root of the word **basement**?,baino (βαινω)> to walk> step
A000141,What is the meaning of the Greek root of the word **basement**?,to walk> step... baino (βαινω)
A000142,What is the Greek root of the word **baseball**?,baino (βαινω)> to walk> step
A000143,What is the meaning of the Greek root of the word **baseball**?,to walk> step... baino (βαινω)
A000144,What is the Greek root of the word **diabetes**?,baino (βαινω)> to walk> step
A000145,What is the meaning of the Greek root of the word **diabetes**?,to walk> step... baino (βαινω)
A000146,What does the Greek word **ballo (βαλλω)** mean?,throw
A000147,What Greek word means **throw**?,ballo (βαλλω)
A000148,What is the Greek root of the word **devil**?,ballo (βαλλω)> throw
A000149,What is the meaning of the Greek root of the word **devil**?,throw... ballo (βαλλω)
A000150,What is the Greek root of the word **diabolic**?,ballo (βαλλω)> throw
A000151,What is the meaning of the Greek root of the word **diabolic**?,throw... ballo (βαλλω)
A000152,What is the Greek root of the word **emblem**?,ballo (βαλλω)> throw
A000153,What is the meaning of the Greek root of the word **emblem**?,throw... ballo (βαλλω)
A000154,What is the Greek root of the word **hyperbole**?,ballo (βαλλω)> throw
A000155,What is the meaning of the Greek root of the word **hyperbole**?,throw... ballo (βαλλω)
A000156,What is the Greek root of the word **metabolism**?,ballo (βαλλω)> throw
A000157,What is the meaning of the Greek root of the word **metabolism**?,throw... ballo (βαλλω)
A000158,What is the Greek root of the word **parable**?,ballo (βαλλω)> throw
A000159,What is the meaning of the Greek root of the word **parable**?,throw... ballo (βαλλω)
A000160,What is the Greek root of the word **parabola**?,ballo (βαλλω)> throw
A000161,What is the meaning of the Greek root of the word **parabola**?,throw... ballo (βαλλω)
A000162,What is the Greek root of the word **parlance**?,ballo (βαλλω)> throw
A000163,What is the meaning of the Greek root of the word **parlance**?,throw... ballo (βαλλω)
A000164,What is the Greek root of the word **parley**?,ballo (βαλλω)> throw
A000165,What is the meaning of the Greek root of the word **parley**?,throw... ballo (βαλλω)
A000166,What is the Greek root of the word **parliament**?,ballo (βαλλω)> throw
A000167,What is the meaning of the Greek root of the word **parliament**?,throw... ballo (βαλλω)
A000168,What is the Greek root of the word **parlor**?,ballo (βαλλω)> throw
A000169,What is the meaning of the Greek root of the word **parlor**?,throw... ballo (βαλλω)
A000170,What is the Greek root of the word **parole**?,ballo (βαλλω)> throw
A000171,What is the meaning of the Greek root of the word **parole**?,throw... ballo (βαλλω)
A000172,What is the Greek root of the word **problem**?,ballo (βαλλω)> throw
A000173,What is the meaning of the Greek root of the word **problem**?,throw... ballo (βαλλω)
A000174,What is the Greek root of the word **symbol**?,ballo (βαλλω)> throw
A000175,What is the meaning of the Greek root of the word **symbol**?,throw... ballo (βαλλω)
A000176,What does the Greek word **biblos (βιβλος)** mean?,book
A000177,What Greek word means **book**?,biblos (βιβλος)
A000178,What is the Greek root of the word **Bible**?,biblos (βιβλος)> book
A000179,What is the meaning of the Greek root of the word **Bible**?,book... biblos (βιβλος)
A000180,What is the Greek root of the word **bibliophile**?,biblos (βιβλος)> book
A000181,What is the meaning of the Greek root of the word **bibliophile**?,book... biblos (βιβλος)
A000182,What is the Greek root of the word **bibliophobe**?,biblos (βιβλος)> book
A000183,What is the meaning of the Greek root of the word **bibliophobe**?,book... biblos (βιβλος)
A000184,What does the Greek word **bios (βιος)** mean?,life
A000185,What Greek word means **life**?,bios (βιος)
A000186,What is the Greek root of the word **amphibian**?,bios (βιος)> life
A000187,What is the meaning of the Greek root of the word **amphibian**?,life... bios (βιος)
A000188,What is the Greek root of the word **biology**?,bios (βιος)> life
A000189,What is the meaning of the Greek root of the word **biology**?,life... bios (βιος)
A000190,What is the Greek root of the word **biomass**?,bios (βιος)> life
A000191,What is the meaning of the Greek root of the word **biomass**?,life... bios (βιος)
A000192,What does the Greek word **gamos (γαμος)** mean?,wedding> marriage
A000193,What Greek word means **wedding> marriage**?,gamos (γαμος)
A000194,What is the Greek root of the word **bigamy**?,gamos (γαμος)> wedding> marriage
A000195,What is the meaning of the Greek root of the word **bigamy**?,wedding> marriage... gamos (γαμος)
A000196,What is the Greek root of the word **polygamy**?,gamos (γαμος)> wedding> marriage
A000197,What is the meaning of the Greek root of the word **polygamy**?,wedding> marriage... gamos (γαμος)
A000198,What is the Greek root of the word **monogamous**?,monos (μονος)> alone; gamos (γαμος)> wedding> marriage
A000199,What is the meaning of the Greek root of the word **monogamous**?,alone... monos (μονος); wedding> marriage... gamos (γαμος)
A000200,What does the Greek word **genos (γενος)** mean?,race> offspring> kind
A000201,What Greek word means **race> offspring> kind**?,genos (γενος)
A000202,What is the Greek root of the word **cyanogen**?,genos (γενος)> race> offspring> kind
A000203,What is the meaning of the Greek root of the word **cyanogen**?,race> offspring> kind... genos (γενος)
A000204,What is the Greek root of the word **genealogy**?,logos (λογος)> word> speech> reasoning; genos (γενος)> race> offspring> kind
A000205,What is the meaning of the Greek root of the word **genealogy**?,word> speech> reasoning... logos (λογος); race> offspring> kind... genos (γενος)
A000206,What is the Greek root of the word **genesis**?,genos (γενος)> race> offspring> kind
A000207,What is the meaning of the Greek root of the word **genesis**?,race> offspring> kind... genos (γενος)
A000208,What is the Greek root of the word **genetic**?,genos (γενος)> race> offspring> kind
A000209,What is the meaning of the Greek root of the word **genetic**?,race> offspring> kind... genos (γενος)
A000210,What is the Greek root of the word **homogeneous**?,homos (ὁμος)> one and the same> like; genos (γενος)> race> offspring> kind
A000211,What is the meaning of the Greek root of the word **homogeneous**?,one and the same> like... homos (ὁμος); race> offspring> kind... genos (γενος)
A000212,What is the Greek root of the word **hydrogen**?,hydor (ὑδωρ)> water; genos (γενος)> race> offspring> kind
A000213,What is the meaning of the Greek root of the word **hydrogen**?,water... hydor (ὑδωρ); race> offspring> kind... genos (γενος)
A000214,What is the Greek root of the word **nitrogen**?,genos (γενος)> race> offspring> kind
A000215,What is the meaning of the Greek root of the word **nitrogen**?,race> offspring> kind... genos (γενος)
A000216,What does the Greek word **ge (γη)** mean?,earth
A000217,What Greek word means **earth**?,ge (γη)
A000218,What is the Greek root of the word **apogee**?,ge (γη)> earth
A000219,What is the meaning of the Greek root of the word **apogee**?,earth... ge (γη)
A000220,What is the Greek root of the word **geology**?,ge (γη)> earth
A000221,What is the meaning of the Greek root of the word **geology**?,earth... ge (γη)
A000222,What is the Greek root of the word **geometry**?,ge (γη)> earth
A000223,What is the meaning of the Greek root of the word **geometry**?,earth... ge (γη)
A000224,What is the Greek root of the word **geocentric**?,ge (γη)> earth
A000225,What is the meaning of the Greek root of the word **geocentric**?,earth... ge (γη)
A000226,What is the Greek root of the word **geomorphic**?,ge (γη)> earth
A000227,What is the meaning of the Greek root of the word **geomorphic**?,earth... ge (γη)
A000228,What does the Greek word **gignosko (γιγνωσκω)** mean?,to come to know> recognize
A000229,What Greek word means **to come to know> recognize**?,gignosko (γιγνωσκω)
A000230,What is the Greek root of the word **diagnose**?,gignosko (γιγνωσκω)> to come to know> recognize
A000231,What is the meaning of the Greek root of the word **diagnose**?,to come to know> recognize... gignosko (γιγνωσκω)
A000232,What is the Greek root of the word **physiognomy**?,gignosko (γιγνωσκω)> to come to know> recognize
A000233,What is the meaning of the Greek root of the word **physiognomy**?,to come to know> recognize... gignosko (γιγνωσκω)
A000234,What is the Greek root of the word **prognostic**?,gignosko (γιγνωσκω)> to come to know> recognize
A000235,What is the meaning of the Greek root of the word **prognostic**?,to come to know> recognize... gignosko (γιγνωσκω)
A000236,What does the Greek word **grapho (γραφω)** mean?,to draw> write> describe
A000237,What Greek word means **to draw> write> describe**?,grapho (γραφω)
A000238,What is the Greek root of the word **autograph**?,autos (αυτος)> self; grapho (γραφω)> to draw> write> describe
A000239,What is the meaning of the Greek root of the word **autograph**?,self... autos (αυτος); to draw> write> describe... grapho (γραφω)
A000240,What is the Greek root of the word **bibliography**?,biblos (βιβλος)> book; grapho (γραφω)> to draw> write> describe
A000241,What is the meaning of the Greek root of the word **bibliography**?,book... biblos (βιβλος); to draw> write> describe... grapho (γραφω)
A000242,What is the Greek root of the word **biography**?,bios (βιος)> life; grapho (γραφω)> to draw> write> describe
