A000000,What does the Greek word **aeido (αειδω)** mean?,to sing
A000483,What Greek word means **alone**?,monos (μονος)
A000484,What is the Greek root of the word **minister**?,monos (μονος)> alone
A000485,What is the meaning of the Greek root of the word **minister**?,alone... monos (μονος)
A000486,What is the Greek root of the word **monastery**?,monos (μονος)> alone
A000487,What is the meaning of the Greek root of the word **monastery**?,alone... monos (μονος)
A000488,What is the Greek root of the word **monk**?,monos (μονος)> alone
A000489,What is the meaning of the Greek root of the word **monk**?,alone... monos (μονος)
A000490,What is the Greek root of the word **monocle**?,monos (μονος)> alone
A000491,What is the meaning of the Greek root of the word **monocle**?,alone... monos (μονος)
A000492,What is the Greek root of the word **monogram**?,monos (μονος)> alone
A000493,What is the meaning of the Greek root of the word **monogram**?,alone... monos (μονος)
A000494,What is the Greek root of the word **monolith**?,monos (μονος)> alone
A000495,What is the meaning of the Greek root of the word **monolith**?,alone... monos (μονος)
A000496,What is the Greek root of the word **monopoly**?,monos (μονος)> alone
A000497,What is the meaning of the Greek root of the word **monopoly**?,alone... monos (μονος)
A000498,What is the Greek root of the word **monotone**?,monos (μονος)> alone
A000499,What is the meaning of the Greek root of the word **monotone**?,alone... monos (μονος)
A000500,What is the Greek root of the word **monoxide**?,monos (μονος)> alone
A000501,What is the meaning of the Greek root of the word **monoxide**?,alone... monos (μονος)
A000502,What does the Greek word **nomos (νομος)** mean?,custom> law> principle
A000503,What Greek word means **custom> law> principle**?,nomos (νομος)
A000504,What is the Greek root of the word **astronomy**?,aster (αστηρ)> star; nomos (νομος)> custom> law> principle
A000505,What is the meaning of the Greek root of the word **astronomy**?,star... aster (αστηρ); custom> law> principle... nomos (νομος)
A000506,What is the Greek root of the word **autonomy**?,autos (αυτος)> self; nomos (νομος)> custom> law> principle
A000507,What is the meaning of the Greek root of the word **autonomy**?,self... autos (αυτος); custom> law> principle... nomos (νομος)
A000508,What is the Greek root of the word **binominal**?,nomos (νομος)> custom> law> principle
A000509,What is the meaning of the Greek root of the word **binominal**?,custom> law> principle... nomos (νομος)
A000510,What is the Greek root of the word **economy**?,oikos (οικος)> house> household; nomos (νομος)> custom> law> principle
A000511,What is the meaning of the Greek root of the word **economy**?,house> household... oikos (οικος); custom> law> principle... nomos (νομος)
A000512,What does the Greek word **oikos (οικος)** mean?,house> household
A000513,What Greek word means **house> household**?,oikos (οικος)
A000514,What is the Greek root of the word **diocese**?,oikos (οικος)> house> household
A000515,What is the meaning of the Greek root of the word **diocese**?,house> household... oikos (οικος)
A000516,What is the Greek root of the word **parish**?,oikos (οικος)> house> household
A000517,What is the meaning of the Greek root of the word **parish**?,house> household... oikos (οικος)
A000518,What is the Greek root of the word **parochial**?,oikos (οικος)> house> household
A000519,What is the meaning of the Greek root of the word **parochial**?,house> household... oikos (οικος)
A000520,What does the Greek word **hodos (ὁδος)** mean?,road> way
A000521,What Greek word means **road> way**?,hodos (ὁδος)
A000522,What is the Greek root of the word **electrode**?,hodos (ὁδος)> road> way
A000523,What is the meaning of the Greek root of the word **electrode**?,road> way... hodos (ὁδος)
A000524,What is the Greek root of the word **episode**?,hodos (ὁδος)> road> way
A000525,What is the meaning of the Greek root of the word **episode**?,road> way... hodos (ὁδος)
A000526,What is the Greek root of the word **exodus**?,hodos (ὁδος)> road> way
A000527,What is the meaning of the Greek root of the word **exodus**?,road> way... hodos (ὁδος)
A000528,What is the Greek root of the word **method**?,hodos (ὁδος)> road> way
A000529,What is the meaning of the Greek root of the word **method**?,road> way... hodos (ὁδος)
A000530,What is the Greek root of the word **period**?,hodos (ὁδος)> road> way
A000531,What is the meaning of the Greek root of the word **period**?,road> way... hodos (ὁδος)
A000532,What is the Greek root of the word **synod**?,hodos (ὁδος)> road> way
A000533,What is the meaning of the Greek root of the word **synod**?,road> way... hodos (ὁδος)
A000534,What does the Greek word **homos (ὁμος)** mean?,one and the same> like
A000535,What Greek word means **one and the same> like**?,homos (ὁμος)
A000536,What is the Greek root of the word **anomalous**?,homos (ὁμος)> one and the same> like
A000537,What is the meaning of the Greek root of the word **anomalous**?,one and the same> like... homos (ὁμος)
A000538,What is the Greek root of the word **homily**?,homos (ὁμος)> one and the same> like
A000539,What is the meaning of the Greek root of the word **homily**?,one and the same> like... homos (ὁμος)
A000540,What does the Greek word **οnoma (ονομα)** mean?,name
A000541,What Greek word means **name**?,οnoma (ονομα)
A000542,What is the Greek root of the word **anonymous**?,οnoma (ονομα)> name
A000543,What is the meaning of the Greek root of the word **anonymous**?,name... οnoma (ονομα)
A000544,What is the Greek root of the word **antonym**?,οnoma (ονομα)> name
A000545,What is the meaning of the Greek root of the word **antonym**?,name... οnoma (ονομα)
A000546,What is the Greek root of the word **synonym**?,οnoma (ονομα)> name
A000547,What is the meaning of the Greek root of the word **synonym**?,name... οnoma (ονομα)
A000548,What does the Greek word **oxys (οξυς)** mean?,sharp> keen
A000549,What Greek word means **sharp> keen**?,oxys (οξυς)
A000550,What is the Greek root of the word **dioxide**?,oxys (οξυς)> sharp> keen
A000551,What is the meaning of the Greek root of the word **dioxide**?,sharp> keen... oxys (οξυς)
A000552,What is the Greek root of the word **oxidize**?,oxys (οξυς)> sharp> keen
A000553,What is the meaning of the Greek root of the word **oxidize**?,sharp> keen... oxys (οξυς)
A000554,What is the Greek root of the word **oxygen**?,genos (γενος)> race> offspring> kind; oxys (οξυς)> sharp> keen
A000555,What is the meaning of the Greek root of the word **oxygen**?,race> offspring> kind... genos (γενος); sharp> keen... oxys (οξυς)
A000556,What is the Greek root of the word **peroxide**?,oxys (οξυς)> sharp> keen
A000557,What is the meaning of the Greek root of the word **peroxide**?,sharp> keen... oxys (οξυς)
A000558,What is the Greek root of the word **oxymoron**?,oxys (οξυς)> sharp> keen
A000559,What is the meaning of the Greek root of the word **oxymoron**?,sharp> keen... oxys (οξυς)
A000560,What does the Greek word **orthos (ορθος)** mean?,straight> right> correct
A000561,What Greek word means **straight> right> correct**?,orthos (ορθος)
A000562,What is the Greek root of the word **orthography**?,grapho (γραφω)> to draw> write> describe; orthos (ορθος)> straight> right> correct
A000563,What is the meaning of the Greek root of the word **orthography**?,to draw> write> describe... grapho (γραφω); straight> right> correct... orthos (ορθος)
A000564,What does the Greek word **pais (παις)** mean?,child
A000565,What Greek word means **child**?,pais (παις)
A000566,What is the Greek root of the word **pedant**?,pais (παις)> child
A000567,What is the meaning of the Greek root of the word **pedant**?,child... pais (παις)
A000568,What is the Greek root of the word **pedantry**?,pais (παις)> child
A000569,What is the meaning of the Greek root of the word **pedantry**?,child... pais (παις)
A000570,What is the Greek root of the word **pediatrician**?,pais (παις)> child
A000571,What is the meaning of the Greek root of the word **pediatrician**?,child... pais (παις)
A000572,What is the Greek root of the word **encyclopedia**?,pais (παις)> child
A000573,What is the meaning of the Greek root of the word **encyclopedia**?,child... pais (παις)
A000574,What does the Greek word **pas (πας)** mean?,every> entire> all
A000575,What Greek word means **every> entire> all**?,pas (πας)
A000576,What is the Greek root of the word **panacea**?,pas (πας)> every> entire> all
A000577,What is the meaning of the Greek root of the word **panacea**?,every> entire> all... pas (πας)
A000578,What is the Greek root of the word **pancreas**?,pas (πας)> every> entire> all
A000579,What is the meaning of the Greek root of the word **pancreas**?,every> entire> all... pas (πας)
A000580,What is the Greek root of the word **panegyric**?,pas (πας)> every> entire> all
A000581,What is the meaning of the Greek root of the word **panegyric**?,every> entire> all... pas (πας)
A000582,What is the Greek root of the word **panoply**?,pas (πας)> every> entire> all
A000583,What is the meaning of the Greek root of the word **panoply**?,every> entire> all... pas (πας)
A000584,What is the Greek root of the word **panorama**?,pas (πας)> every> entire> all
A000585,What is the meaning of the Greek root of the word **panorama**?,every> entire> all... pas (πας)
A000586,What is the Greek root of the word **pantomime**?,pas (πας)> every> entire> all
A000587,What is the meaning of the Greek root of the word **pantomime**?,every> entire> all... pas (πας)
A000588,What is the Greek root of the word **panhellenism**?,pas (πας)> every> entire> all
A000589,What is the meaning of the Greek root of the word **panhellenism**?,every> entire> all... pas (πας)
A000590,What does the Greek word **pathos (παθος)** mean?,feeling
A000591,What Greek word means **feeling**?,pathos (παθος)
A000592,What is the Greek root of the word **antipathy**?,pathos (παθος)> feeling
A000593,What is the meaning of the Greek root of the word **antipathy**?,feeling... pathos (παθος)
A000594,What is the Greek root of the word **apathy**?,pathos (παθος)> feeling
A000595,What is the meaning of the Greek root of the word **apathy**?,feeling... pathos (παθος)
A000596,What is the Greek root of the word **pathetic**?,pathos (παθος)> feeling
A000597,What is the meaning of the Greek root of the word **pathetic**?,feeling... pathos (παθος)
A000598,What is the Greek root of the word **pathos**?,pathos (παθος)> feeling
A000599,What is the meaning of the Greek root of the word **pathos**?,feeling... pathos (παθος)
A000600,What is the Greek root of the word **sympathy**?,pathos (παθος)> feeling
A000601,What is the meaning of the Greek root of the word **sympathy**?,feeling... pathos (παθος)
A000602,What does the Greek word **petra (πετρα)** mean?,rock> stone
A000603,What Greek word means **rock> stone**?,petra (πετρα)
A000604,What is the Greek root of the word **parsley**?,petra (πετρα)> rock> stone
A000605,What is the meaning of the Greek root of the word **parsley**?,rock> stone... petra (πετρα)
A000606,What is the Greek root of the word **petrify**?,petra (πετρα)> rock> stone
A000607,What is the meaning of the Greek root of the word **petrify**?,rock> stone... petra (πετρα)
A000608,What is the Greek root of the word **petroleum**?,petra (πετρα)> rock> stone
A000609,What is the meaning of the Greek root of the word **petroleum**?,rock> stone... petra (πετρα)
A000610,What does the Greek word **phagein (φαγειν)** mean?,to eat
A000611,What Greek word means **to eat**?,phagein (φαγειν)
A000612,What is the Greek root of the word **esophagus**?,phagein (φαγειν)> to eat
A000613,What is the meaning of the Greek root of the word **esophagus**?,to eat... phagein (φαγειν)
A000614,What is the Greek root of the word **sarcophagus**?,sarx (σαρξ)> flesh; phagein (φαγειν)> to eat
A000615,What is the meaning of the Greek root of the word **sarcophagus**?,flesh... sarx (σαρξ); to eat... phagein (φαγειν)
A000616,What does the Greek word **sarx (σαρξ)** mean?,flesh
A000617,What Greek word means **flesh**?,sarx (σαρξ)
A000618,What is the Greek root of the word **sarcasm**?,sarx (σαρξ)> flesh
A000619,What is the meaning of the Greek root of the word **sarcasm**?,flesh... sarx (σαρξ)
A000620,What does the Greek word **skopeo (σκοπεω)** mean?,behold> examine> inspect> consider> see
A000621,What Greek word means **behold> examine> inspect> consider> see**?,skopeo (σκοπεω)
A000622,What is the Greek root of the word **Episcopal**?,skopeo (σκοπεω)> behold> examine> inspect> consider> see
A000623,What is the meaning of the Greek root of the word **Episcopal**?,behold> examine> inspect> consider> see... skopeo (σκοπεω)
A000624,What is the Greek root of the word **horoscope**?,skopeo (σκοπεω)> behold> examine> inspect> consider> see
A000625,What is the meaning of the Greek root of the word **horoscope**?,behold> examine> inspect> consider> see... skopeo (σκοπεω)
A000626,What is the Greek root of the word **microscope**?,micros (μικρος)> little> small; skopeo (σκοπεω)> behold> examine> inspect> consider> see
A000627,What is the meaning of the Greek root of the word **microscope**?,little> small... micros (μικρος); behold> examine> inspect> consider> see... skopeo (σκοπεω)
A000628,What is the Greek root of the word **sceptic**?,skopeo (σκοπεω)> behold> examine> inspect> consider> see
A000629,What is the meaning of the Greek root of the word **sceptic**?,behold> examine> inspect> consider> see... skopeo (σκοπεω)
A000630,What does the Greek word **sophos (σοφος)** mean?,wise
A000631,What Greek word means **wise**?,sophos (σοφος)
A000632,What is the Greek root of the word **philosophy**?,sophos (σοφος)> wise
A000633,What is the meaning of the Greek root of the word **philosophy**?,wise... sophos (σοφος)
A000634,What is the Greek root of the word **sophist**?,sophos (σοφος)> wise
A000635,What is the meaning of the Greek root of the word **sophist**?,wise... sophos (σοφος)
A000636,What is the Greek root of the word **sophisticated**?,sophos (σοφος)> wise
A000637,What is the meaning of the Greek root of the word **sophisticated**?,wise... sophos (σοφος)
A000638,What is the Greek root of the word **sophomore**?,sophos (σοφος)> wise
A000639,What is the meaning of the Greek root of the word **sophomore**?,wise... sophos (σοφος)
A000640,What does the Greek word **strepho (στρεφω)** mean?,turn about> twist
A000641,What Greek word means **turn about> twist**?,strepho (στρεφω)
A000642,What is the Greek root of the word **apostrophe**?,strepho (στρεφω)> turn about> twist
A000643,What is the meaning of the Greek root of the word **apostrophe**?,turn about> twist... strepho (στρεφω)
A000644,What is the Greek root of the word **catastrophe**?,strepho (στρεφω)> turn about> twist
A000645,What is the meaning of the Greek root of the word **catastrophe**?,turn about> twist... strepho (στρεφω)
A000646,What is the Greek root of the word **strap**?,strepho (στρεφω)> turn about> twist
A000647,What is the meaning of the Greek root of the word **strap**?,turn about> twist... strepho (στρεφω)
A000648,What is the Greek root of the word **strophe**?,strepho (στρεφω)> turn about> twist
A000649,What is the meaning of the Greek root of the word **strophe**?,turn about> twist... strepho (στρεφω)
A000650,What does the Greek word **teino (τεινω)** mean?,stretch out> strain
A000651,What Greek word means **stretch out> strain**?,teino (τεινω)
A000652,What is the Greek root of the word **attune**?,teino (τεινω)> stretch out> strain
A000653,What is the meaning of the Greek root of the word **attune**?,stretch out> strain... teino (τεινω)
A000654,What is the Greek root of the word **hypotenuse**?,teino (τεινω)> stretch out> strain
A000655,What is the meaning of the Greek root of the word **hypotenuse**?,stretch out> strain... teino (τεινω)
A000656,What is the Greek root of the word **intonation**?,teino (τεινω)> stretch out> strain
A000657,What is the meaning of the Greek root of the word **intonation**?,stretch out> strain... teino (τεινω)
A000658,What is the Greek root of the word **monotony**?,teino (τεινω)> stretch out> strain
A000659,What is the meaning of the Greek root of the word **monotony**?,stretch out> strain... teino (τεινω)
A000660,What is the Greek root of the word **tendon**?,teino (τεινω)> stretch out> strain
A000661,What is the meaning of the Greek root of the word **tendon**?,stretch out> strain... teino (τεινω)
A000662,What is the Greek root of the word **tetanus**?,teino (τεινω)> stretch out> strain
A000663,What is the meaning of the Greek root of the word **tetanus**?,stretch out> strain... teino (τεινω)
A000664,What is the Greek root of the word **tune**?,teino (τεινω)> stretch out> strain
A000665,What is the meaning of the Greek root of the word **tune**?,stretch out> strain... teino (τεινω)
A000666,What does the Greek word **temno (τεμνω)** mean?,cut> divide
A000667,What Greek word means **cut> divide**?,temno (τεμνω)
A000668,What is the Greek root of the word **anatomy**?,temno (τεμνω)> cut> divide
A000669,What is the meaning of the Greek root of the word **anatomy**?,cut> divide... temno (τεμνω)
A000670,What is the Greek root of the word **appendectomy**?,temno (τεμνω)> cut> divide
A000671,What is the meaning of the Greek root of the word **appendectomy**?,cut> divide... temno (τεμνω)
A000672,What is the Greek root of the word **atom**?,temno (τεμνω)> cut> divide
A000673,What is the meaning of the Greek root of the word **atom**?,cut> divide... temno (τεμνω)
A000674,What is the Greek root of the word **epitome**?,temno (τεμνω)> cut> divide
A000675,What is the meaning of the Greek root of the word **epitome**?,cut> divide... temno (τεμνω)
A000676,What is the Greek root of the word **tome**?,temno (τεμνω)> cut> divide
A000677,What is the meaning of the Greek root of the word **tome**?,cut> divide... temno (τεμνω)
A000678,What does the Greek word **tithemi (τιθημι)** mean?,to put> place
A000679,What Greek word means **to put> place**?,tithemi (τιθημι)
A000680,What is the Greek root of the word **anathema**?,tithemi (τιθημι)> to put> place
A000681,What is the meaning of the Greek root of the word **anathema**?,to put> place... tithemi (τιθημι)
A000682,What is the Greek root of the word **antithesis**?,tithemi (τιθημι)> to put> place
A000683,What is the meaning of the Greek root of the word **antithesis**?,to put> place... tithemi (τιθημι)
A000684,What is the Greek root of the word **apothecary**?,tithemi (τιθημι)> to put> place
A000685,What is the meaning of the Greek root of the word **apothecary**?,to put> place... tithemi (τιθημι)
A000686,What is the Greek root of the word **epithet**?,tithemi (τιθημι)> to put> place
A000687,What is the meaning of the Greek root of the word **epithet**?,to put> place... tithemi (τιθημι)
A000688,What is the Greek root of the word **hypothesis**?,tithemi (τιθημι)> to put> place
A000689,What is the meaning of the Greek root of the word **hypothesis**?,to put> place... tithemi (τιθημι)
A000690,What is the Greek root of the word **synthetic**?,tithemi (τιθημι)> to put> place
A000691,What is the meaning of the Greek root of the word **synthetic**?,to put> place... tithemi (τιθημι)
A000692,What is the Greek root of the word **theme**?,tithemi (τιθημι)> to put> place
A000693,What is the meaning of the Greek root of the word **theme**?,to put> place... tithemi (τιθημι)
A000694,What is the Greek root of the word **thesis**?,tithemi (τιθημι)> to put> place
A000695,What is the meaning of the Greek root of the word **thesis**?,to put> place... tithemi (τιθημι)
A000696,What is the Greek root of the word **synthesis**?,tithemi (τιθημι)> to put> place
A000697,What is the meaning of the Greek root of the word **synthesis**?,to put> place... tithemi (τιθημι)
A000698,What does the Greek word **hydor (ὑδωρ)** mean?,water
A000699,What Greek word means **water**?,hydor (ὑδωρ)
A000700,What is the Greek root of the word **carbohydrate**?,hydor (ὑδωρ)> water
A000701,What is the meaning of the Greek root of the word **carbohydrate**?,water... hydor (ὑδωρ)
A000702,What is the Greek root of the word **dropsy**?,hydor (ὑδωρ)> water
A000703,What is the meaning of the Greek root of the word **dropsy**?,water... hydor (ὑδωρ)
A000704,What is the Greek root of the word **formaldehyde**?,hydor (ὑδωρ)> water
A000705,What is the meaning of the Greek root of the word **formaldehyde**?,water... hydor (ὑδωρ)
A000706,What is the Greek root of the word **hydra**?,hydor (ὑδωρ)> water
A000707,What is the meaning of the Greek root of the word **hydra**?,water... hydor (ὑδωρ)
A000708,What is the Greek root of the word **hydrangea**?,hydor (ὑδωρ)> water
A000709,What is the meaning of the Greek root of the word **hydrangea**?,water... hydor (ὑδωρ)
A000710,What is the Greek root of the word **hydrant**?,hydor (ὑδωρ)> water
A000711,What is the meaning of the Greek root of the word **hydrant**?,water... hydor (ὑδωρ)
A000712,What is the Greek root of the word **hydraulic**?,hydor (ὑδωρ)> water
A000713,What is the meaning of the Greek root of the word **hydraulic**?,water... hydor (ὑδωρ)
A000714,What is the Greek root of the word **hydrochloric**?,hydor (ὑδωρ)> water
A000715,What is the meaning of the Greek root of the word **hydrochloric**?,water... hydor (ὑδωρ)
A000716,What does the Greek word **cheir (χειρ)** mean?,hand
A000717,What Greek word means **hand**?,cheir (χειρ)
A000718,What is the Greek root of the word **surgery**?,cheir (χειρ)> hand
A000719,What is the meaning of the Greek root of the word **surgery**?,hand... cheir (χειρ)
A000720,What does the Greek word **chronos (χρονος)** mean?,time
A000721,What Greek word means **time**?,chronos (χρονος)
A000722,What is the Greek root of the word **chronic**?,chronos (χρονος)> time
A000723,What is the meaning of the Greek root of the word **chronic**?,time... chronos (χρονος)
A000724,What is the Greek root of the word **chronicle**?,chronos (χρονος)> time
A000725,What is the meaning of the Greek root of the word **chronicle**?,time... chronos (χρονος)
A000726,What is the Greek root of the word **chronology**?,chronos (χρονος)> time
A000727,What is the meaning of the Greek root of the word **chronology**?,time... chronos (χρονος)
A000728,What is the Greek root of the word **crony**?,chronos (χρονος)> time
A000729,What is the meaning of the Greek root of the word **crony**?,time... chronos (χρονος)
A000730,What is the Greek root of the word **synchronize**?,chronos (χρονος)> time
A000731,What is the meaning of the Greek root of the word **synchronize**?,time... chronos (χρονος)
A000732,What is the Greek root of the word **chiropractic**?,cheir (χειρ)> hand
A000733,What is the meaning of the Greek root of the word **chiropractic**?,hand... cheir (χειρ)
A000734,What is the Greek root of the word **logo**?,logos (λογος)> word> speech> reasoning
A000735,What is the meaning of the Greek root of the word **chiropractic**?,word> speech> reasoning... logos (λογος)