M000000,What is the meaning of the Latin word `cras`?,TOMORROW
M000001,What is the meaning of the Latin word `heri`?,YESTERDAY
M000002,What is the meaning of the Latin word `postridie`?,THE DAY AFTER; ON THE FOLLOWING DAY
M000003,What Roman emperor thought he was a reincarnation of Hercules?,COMMODUS
M000004,Who was the father of Commodus and emperor until 180 AD?,MARCUS AURELIUS
M000005,What was the name of Commodus' mistress> believed to have been a Christian?,MARCIA
M000006,Who gave birth in a cave in Arcadia to a son of Zeus who would prove to be the world's most cunning thief by stealing his older brother's cattle?,MAIA
M000007,What Titan> the brother of Prometheus and Epimetheus> was the father of Maia? His name is the origin of both the name of an African mountain range and the term for a book of maps.,ATLAS
M000008,What was the name of the daughters of Atlas who tended Hera's golden apples in a garden on the edge of the world?,HESPERIDES
M000009,Change the phrase duo servi to the accusative singular.,UNUM SERVUM
M000010,Change the phrase unam feminam to the nominative plural.,DUAE FEMINAE
M000011,Change the phrase duae feminae to the ablative.,DUABUS FEMINIS
M000012,What Greek goddess was often called `Cytherea` and `Cypris` after the two islands where she was believed to have first washed ashore after being from sea foam?,APHRODITE
M000013,What Greek goddess was often called `Pallas` after the name of a childhood friend whom she had accidentally killed?,ATHENA
M000014,What Greek god did the Romans often call `liber>` meaning `free>` presumably because of one of the effects of his favorite drink?,DIONYSUS; BACCHUS
M000015,Translate the following sentence into Latin: Bad men do not have good fields.,MALI VIRI NON AGROS BONOS HABENT
M000016,Change the subject in that sentence to the singular.,MALUS VIR
M000017,Now say in Latin: The daughter of the bad poet loves money.,FILIA MALI POETAE PECUNIAM AMAT
M000018,What is the Latin motto of Virginia> which translates into English as `thus always to tyrants`?,SIC SEMPER TYRANNIS
M000019,What is the Latin motto of South Carolina> which translates as `while I breathe> I hope`?,DUM SPIRO SPERO
M000020,What is the Latin motto of Arkansas> which translates as `the populace rules`?,REGNAT POPULUS
M000021,In Homer's Odyssey> what faithful wife continually delayed remarrying until her husband Odysseus finally got home?,PENELOPE
M000022,Name the couple's son> who fended off his mother's suitors alongside Odysseus.,TELEMACHUS
M000023,After how many years did Odysseus return home?,20; TWENTY
M000024,At what battle in 9 AD were the three Roman legions annihilated by the Germanic leader Arminius?,TEUTOBERG FOREST
M000025,To what tribe did Arminius belong?,CHERUSCI
M000026,What was the name of the Roman Commander who led the three legions which were annihilated?,QUINCTILIUS VARUS
M000027,From what first conjugation verb with what meaning do we derive the Spanish word `amigo`?,AMO> -ARE> TO LOVE
M000028,Give the two Latin words> and their meanings> from which we derive the English word `congrats.`,CUM —WITH; GRATUS —PLEASING (OR GRATIA —PRAISE) DATIVE ABLATIVE
M000029,What use of the ablative can be found in that sentence?,ACCOMPANIMENT
M000030,What use of the ablative is found in the following sentence: Aemilia ex villa currebat.,PLACE FROM WHICH
M000031,What use of the ablative is found in the following sentence: Aemilia timore sedebat.,MANNER
M000032,What use of the ablative case can be found in this sentence: Gladiator murum pulsis pulsat.,MEANS AND ACCOMPANIMENT
M000033,Whom did Achilles drag around the walls of Troy after killing him for taking the life of Achilles' lover> Patroclus?,HECTOR
M000034,The father of both Paris and Hector later ventured into Achilles' tent to beg for his eldest son's body. Name him.,PRIAM
M000035,It would have been virtually impossible for Priam to make it to Achiles' tent by himself. What divinity aided him in concealing himself from the guards?,HERMES
M000036,What type of Roman building> subdivided into cenacula> is analogous to our modern-day apartment building?,INSULA
M000037,In nicer insulae> the ground floor was rented out to one tenant> similar to a modern-day penthouse. What is the term for the collection of shops in humbler insulae ?,TABERNAE
M000038,Insulae often caught on fire. What was the name of Roman firemen> who also served as watchmen and policemen?,VIGILES
M000039,What war of the Roman Republic began with the capture of Messana and ended with Rome's victory at Aegates Islands in 241 BC?,FIRST PUNIC WAR
M000040,Give the year in which the First Punic War began,264 BC
M000041,What maritime device did Duilius devise for defeating the Carthaginians at sea?,THE CORVUS
M000042,Translate the following sentence into English: Agricola multos equos in agro suo habebat.,THE FARMER HAD MANY HORSES IN HIS FIELD
M000043,Translate: Ager agricolae latus est.,THE FARMER'S FIELD IS WIDE
M000044,Now make everything in that sentence plural.,AGRI AGRICOLARUM LATI SUNT
M000045,Differentiate in meaning between `timeo` and `terreo`.,`TIMEO` MEANS `I FEAR`; `TERREO` MEANS `I FRIGHTEN`
M000046,Differentiate in meaning between `vito` and `vivo`.,`VITO` MEANS `I AVOID`; `VIVO` MEANS `I LIVE`
M000047,Differentiate in meaning between `infra` and `intra`.,`INFRA` MEANS `BELOW`; `INTRA` MEANS `WITHIN`
M000048,What emperor emerged from the era of barracks emperors and established tetrarchy> a rule of four joint emperors> in the late 3rd century A.D.?,DIOCLETIAN
M000049,Who co-ruled with Diocletian in the west?,MAXIMIAN
M000050,Name one of the two men who ruled as Caesar in the original tetrarchy.,CONSTANTIUS CHRLOUS; GALLERIUS
M000051,What was the name of the war that Zeus conducted against his father's race?,TITANOMACHY
M000052,With what wise Titaness did Zeus later lay> immediately leading him to fear the consequences of producing a son greater than himself?,METIS
M000053,Which mate of Zeus bore the Muses?,MNEMOSYNE
M000054,For the verb video> videre> give the second person singular> perfect> active indicative.,VIDISTI
M000055,Change the verb vidisti to the imperfect tense.,VIDEBAS
M000056,Change videbas to the passive voice,VIDEBARIS
M000057,Which of a Roman's three names indicated his gens ?,NOMEN
M000058,Which of his names was equivalent to a first name?,PRAENOMEN
M000059,What sort of name did Romans receive for performing a great deed?,AGNOMEN 2011 CHAMPIONS' LEAGUE OF CERTAMEN AT YALE UNIVERSITY NOVICE DIVISION ROUND THREE
M000060,Translate the following sentence into Latin: The gods and goddesses save the best men.,DEI ET DEAE OPTIMOS VIROS SERVANT
M000061,Now say in Latin: The gods and goddesses want to save the best men.,DEI ET DEAE OPTIMOS VIROS SERVARE DESIDERANT; DEI ET DEAE OPTIMOS VIROS SERVARE VOLUNT
M000062,What type of infinitive is the word servare in that sentence?,COMPLEMENTARY
M000063,`Citius> Altius> Fortius>` which is translated as `Higher> Faster> Stronger>` is the Latin motto of what organization?,THE OLYMPIC GAMES
M000064,In the Latin motto for Paris> `fluctuat nec mergitur>` what does `fluctuat` mean?,IT FLOATS; SURGES; FLUCTUATES
M000065,What is the translation of London's motto> `Domine dirige nos`?,LORD DIRECT US
M000066,Who used an unbreakable chain-link net to catch Aphrodite having an affair with Ares?,HEPHAESTUS
M000067,What deity had thrown Hephaestus from Olympus?,HERA
M000068,What goddess> the eventual wife of Peleus> came to Hephaestus' aid?,THETIS
M000069,What is the common English meaning of the following Latin adjectives ? Vetus; Senex; Anticus; Antiquus.,OLD> AGED
M000070,Name an antonym for the adjective `paucus`.,MULTUS; COMPLUS; NUMEROSUS; PLUS
M000071,Name an antonym for `capio`.,LIBERO; SOLVO
M000072,What emperor> whose real name was Titus Domitius Ahenobarbus> was adopted by his great- uncle Claudius and succeeded Claudius to the throne?,NERO
M000073,Who was his successor?,GALBA
M000074,In what year did Galba's successor> Otho> succeed to the throne?,69 AD
M000075,Give the 2nd person plural imperfect active indicative of the verb sum .,ERA TIS
M000076,Make eratis future.,ERITIS
M000077,Make eritis perfect.,FUISTIS
M000078,What type of animal was on the top of the Gorgons' heads> in place of their hair?,SNAKE; SERPANT
M000079,In what crucial respect did Medusa differ from her sisters?,SHE WAS MORTAL
M000080,Name either of the other two Gorgons. STHENO or EURYALE,
M000081,Who was the husband of Pandora and the brother of Prometheus?,EPIMETHEUS
M000082,Who was the pious daughter of Pandora and Epimetheus> who repopulated the earth after a massive flood sent by the gods?,PYRRHA
M000083,Who was Pyrrha's husband?,DEUCALION
M000084,What Roman king> one of the few to die a natural death> established a port at Ostia not far from Rome?,ANCUS MARCIUS
M000085,What other king also died a natural death?,NUMA POMPILIUS
M000086,How did Tarquinius Priscus die?,KILLED BY SONS OF ANCUS MARCIUS
M000087,Translate the following sentence into English: Mater irata filios suos semper terrebat.,THE ANGRY MOTHER ALWAYS FRIGHTENED HER SONS
M000088,Translate: Pater etiam iram matris time bat.,THE FATHER ALSO FEARED THE MOTHER'S ANGER
M000089,Translate: Pater ex sua casa saepe fugere temptavit.,THE FATHER OFTEN TRIED TO FLEE FROM HIS OWN HOUSE
M000090,Please listen to the following sentences which I will read twice and answer in Latin the questions which follow: Iulius ad villam ivit . Deinde Iulius servibus mala et pira dat quod laetus erat. Question: Quo Iulius ivit?,AD VILLAM
M000091,Quibus Iulius mala et pira dat?,SERVIBUS
M000092,Cur Iulius sic fecit?,(QUIA) LAETUS ERAT
M000093,What one-eyed man fended off the forces of Lars Porsenna at the Pons Sublicius?,HORATIUS COCLES
M000094,What Roman woman escaped Lars Porsenna's camp when she swam the Tiber?,CLOELIA
M000095,From what region of Italy was Lars Porsenna?,ETRURIA
M000096,What hero's name means `swollen feet` because his father pierced his ankles?,OEDIPUS
M000097,In what town was Oedipus raised?,CORINTH
M000098,What sons of Oedipus quarreled over the throne?,POLYNEICES AND ETEOCLES
M000099,What is the aspect of the following verb forms: plaudite> este> audi> parate> ama .,IMPERATIVE
M000100,What is the aspect of the verb-form facio ?,INDICATIVE
M000101,Name one other Latin aspect.,INFINITIVE> SUBJUNCTIVE
M000102,On what day did the Ides fall in October?,FIFTEENTH; 15th; 15
M000103,On what day did the Nones fall in October?,SEVENTH; 7th; 7
M000104,On what day did the Kalends fall in October?,FIRST; 1st; 1
M000105,Distinguish in meaning between infra and intra.,INTRA = within/inside/during (not between)> INFRA = below
M000106,Distinguish in meaning between audio and audeo.,AUDIO = hear> AUDEO = dare> be bold
M000107,We all know what the verb `venio` means. What is the meaning of the noun `venia`? It gives us the English `venial sin.`,PARDON; FAVOR; KINDNESS; INDULGENCE
M000108,Name the group of one-eyed creatures that were said to be sons of Poseidon,CYCLOPES
M000109,What hero had an unfortunate run-in with one such creature named Polyphemus?,ODYSSEUS
M000110,Whom did Polyphemus blame when his fellow Cyclopes asked who had harmed him?,NEMO; NO ONE; μήτις
M000111,Name the first principal part of the first conjugation verb that means `to conquer` or `to surpass.`,SUPERO> - ARE
M000112,Give a second declension neuter noun that means `battle`.,PROELIUM> PROELII; BELLUM; CERTAMEN; DUELLUM
M000113,What third declension adjective means `sad`?,TRISTIS> -E
M000114,Baecula> Ilipa> The Metaurus River and Zama were all battles in what war?,SECOND PUNIC WAR
M000115,At the Metaurus River> what brother of Hannibal lost his head?,HASDRUBAL
M000116,What commander defeated Hannibal at Zama?,(PUBLIUS) SCIPIO AFRICANUS
M000117,What derivative of the Latin verb `volvo` means `an overthrow or repudation of an established government by the people it governs`?,REVOLUTION
M000118,What derivative of `volvo` means `extremely complex> intricate> and difficult to follow`?,CONVOLUTED
M000119,What derivative of `volvo` means `to engage as a participant`?,INVOLVE
M000120,Please listen to the following passage which I will read twice and answer in English the questions which follow: Aurelia erat puella intelligens> callida> negotiosa. Quando Aurelia septendecim annos habebat> ad collegium ire debebat. Sed Aurelia nesciebat. Ad universitatem Harvardiensem ire debebat> an ad universitatem Yalensem? Aurelia oraculum rogabat> et oraculum> semper correctum> inquit> ` Ad Yalensem!` (Repeat.) Here is your question: How old was Aurelia during the events of this story?,17; SEVENTEEN
M000121,What decision was Aurelia facing?,WHERE TO GO TO COLLEGE; YALE VS. HARVARD
M000122,Whom did Aurelia ask for advice> and what did that source say?,AN ORACLE> GO TO YALE!!!
M000123,Translate the following Latin sentence into English: `Cur male contra hostem pugnatis> milites?`,WHY ARE YOU FIGHTING POORLY; BADLY AGAINST THE ENEMY> SOLDIERS?
M000124,Translate into English: `Quid nomen tibi> stupide?`,WHAT IS YOUR NAME> STUPID PERSON?
M000125,What is the idiomatic English meaning of the Latin phrase `quid agis?`,HOW ARE YOU (don't accept `what are you doing`)
M000126,The letters `a.m.` abbreviate what full Latin phrase?,ANTE MERIDIEM
M000127,The letters `A.D.` abbreviate what full Latin phrase?,ANNO DOMINI
M000128,The letters `N.B.` abbreviate what full Latin phrase?,NOTA BENE
M000129,Tisiphone> Megaera> and Allecto comprised what vengeful triad> who wandered the earth and punished people who wronged their family members?,FURIES
M000130,What mythological group did Rhea belong to?,TITANS; TITANESSES
M000131,Thalia> Euphrosyne> and Aglaia comprised what mythological triad?,GRACES
M000132,What brothers> the sons of Cornelia and advocates for plebeian interests> were murdered by patricians opposed to the redistributive land law they had proposed?,THE GRACCHI; TIBERIUS AND GAIUS GRACCHUS
M000133,What did Cornelia call the Gracchi?,HER `JEWELS`
M000134,Who was Cornelia's father?,SCIPIO AFRICANUS
M000135,Change pulsat to the passive.,PULSATUR
M000136,Change pulsatur to the plural.,PULSANTUR
M000137,Change pulsantur to the second person.,PULSAMINI
M000138,What traitorous Roman general almost attacked Rome but was persuaded not to by his wife and mother?,CORIOLANUS
M000139,Name his wife.,VETURIA
M000140,Name his mother.,VOLUMNIA
M000141,What king of Tiryns was the mortal taskmaster of Heracles?,EURYSTHEUS
M000142,We all know Zeus was Heracles' real father> but who was the husband of Alcmene and a stepfather to Heracles?,AMPHITRYON
M000143,Who was Alcmene's father?,ELECTRYON
M000144,Translate the following sentence into Latin: The intelligent students work with great speed.,DISCIPULI INTELLEGENTES MAGNA CUM CELERITATE LABORANT
M000145,Now say in Latin: The students work diligently with the teacher.,DISCIPULI DILIGENTER CUM MAGISTRO LABORANT
M000146,Now say in Latin: The teacher loves to have good students.,AMAT MAGISTER BONOS DISCIPULOS HABERE
M000147,What did the ancient Romans call their public baths?,THERMAE; BALNEAE
M000148,What was the entrance fee to the baths for men?,ONE QUADRANS (ONE QUARTER OF AN AS)
M000149,What was the name of the dressing room?,APODYTERIUM
M000150,Which of the following nouns does NOT belong for grammatical reasons? Vir> pastor> cornu> fluvius,CORNU
M000151,What declension is cornu ?,FOURTH
M000152,What is the meaning of cornu ?,HORN
M000153,What twins of classical mythology were known as the Gemini?,CASTOR AND POLLUX
M000154,Who was their mother?,LEDA
M000155,Which twin was a master boxer?,POLLUX
M000156,What is the meaning of the preposition `prope`?,NEAR> NEXT TO
M000157,What is the meaning of the preposition `sine`?,WITHOUT
M000158,What is the meaning of the adverb `subito`?.,SUDDENLY
M000159,Who am I? I had an extremely successful military career in the first century B.C.; I fought against Roman rebels under Sulla> finished off Mithridates> defeated the pirates in the Mediterranean> and was finally defeated by my former political ally> Julius Caesar.,(GNAEUS) POMPEIUS; POMPEY
M000160,Where did Caesar defeat Pompey in 48 B.C.> causing him to flee to Egypt where he was fatefully assassinated?,PHARSALUS
M000161,Crassus> the other member of the first triumvirate> died in an unusual and painful manner. How did he die?,MOLTEN GOLD POURED DOWN HIS THROAT
M000162,What derivate of the Latin adjective potis means `all powerful?`,OMNIPOTENT
M000163,What derivative of the Latin verb paro means `a large procession> usually of a festive nature?`,PARADE
M000164,What derivative of the Latin non pars can mean `a group> collection> or assemblage of persons or things?`,PARCEL
M000165,Quid Anglice significat `avis?`,BIRD
M000166,Quid Anglice significat `apis?`,BEE
M000167,Quid Anglice significat `amnis?`,RIVER
M000168,According to Roman tradition> what patrician farmer laid down his plow to assume the dictatorship and fight against the Aequi?,CINCINNATUS
M000169,Cincinnatus is said to have laid down his power immediately after defeating his foes. For how many days did he hold this dictatorship?,16; SIXTEEN
M000170,What bundle of rods symbolized the dictator's absolutely authority?,FASCES
M000171,Translate the following sentence into English: Dux fortis et milites pro patria pugnaverant.,THE BRAVE LEADER AND THE SOLDIERS HAD FOUGHT FOR THE COUNTRY
M000172,Translate: Post proelium dux non vivus erat.,AFTER THE BATTLE> THE LEADER WAS NOT LIVING
M000173,Translate: Omnes milites miseri erant quod dux nunc mortuus erat.,ALL THE SOLDIERS WERE SAD BECAUSE THE LEADER WAS NOW DEAD
M000174,What son of Tantalus won Hippodameia as a bride by defeating her father in a chariot race?,PELOPS
M000175,Who was the father of Hippodameia?,OENOMAUS
M000176,What charioteer of Oenomaus did Pelops bribe to tamper with his master's chariot?,MYRTILUS
M000177,What type of gladiator fought with a net and trident in the arena?,RETIARIUS
M000178,What type of gladiator fought blind?,ANDABATA
M000179,What type of gladiator fought animals?,BESTIARIUS
M000180,What Roman general defeated Spartacus' rebellion> crucifying the defiant slaves as punishment for their insurrection?,(M. LICINIUS) CRASSUS
M000181,Where did Crassus line up the crucified bodies?,ON THE APPIAN WAY; VIA APPIA
M000182,Where was the gladiatorial school that trained Spartacus?,(NEAR) CAPUA
M000183,Using only two words> how would you translate `boys and girls` in the following sentence? : The teacher asked the boys and girls to work quickly.,PUEROS PUELLASQUE
M000184,Using only one word> give the verb form that would be required to translate the following sentence into Latin: Will you see the pretty forum tomorrow?,VIDEBISNE; VIDEBITISNE
M000185,Using three words> say in Latin> `You will see the forum> won't you?`.,NONNE VIDEBIS FORUM
M000186,What Latin phrase refers to the characters in a play?,DRAMATIS PERSONAE
M000187,What is the meaning of the Latin phrase `ars celare artem`?,IT IS ART TO COVER (ONE'S) ART
M000188,Give the Latin phrase which means `Art is long> but life is short.`,ARS LONGA VITA BREVIS
M000189,Left without a male heir> who was warned by an oracle not to loosen the mouth of the wineskin until he reached Athens> advice he ignored?,AEGEUS
M000190,Why is Theseus' father sometimes said to be Poseidon?,BECAUSE HIS MOTHER SLEPT WITH POSEIDON THE SAME NIGHT SHE SLEPT WITH AEGEUS
M000191,What later wife of Aegeus plotted to kill Theseus?,MEDEA
M000192,Romans> like most people> loved to gamble. During what holiday was gambling permitted in Rome?,SATURNALIA
M000193,The Romans often gambled using tesserae or tali. Distinguish between them.,TESSERAE ARE DICE; TALI ARE KNUCLEBONES
M000194,The anti-gaming law didn't apply to this game analogous to chess> because the outcome was dependent on player skill rather than chance.,LATRUNCULI
M000195,What emperor of 211 AD presided over a bitter and divided imperial house> since his sons Caracalla and Geta simply could not get along?,SEPTIMIUS SEVERUS
M000196,What previous emperor had purchased the throne from the Praetorian Guard?,DIDIUS JULIANUS
M000197,In what year were Pertinax> Didius Julianus> and Septimius all emperors?,193 AD
M000198,Many English words have mythological etymologies. What English adjective meaning `merry> jolly> or joyful` is derived from the genitive singular of Zeus' Latin name?,JOVIAL
M000199,What English noun meaning `protection> support> or sponsorship` is derived from the name of the breastplate carried by both Zeus and Athena> which bore the head of Medusa?,AEGIS
M000200,What English adjective derived from the Latin name of Zeus' father has a meaning nearly opposite to `jovial`?,SATURNINE
M000201,Quid Anglice significat `oppidum`?,TOWN> FORTRESS
M000202,Quid Anglice significat `porta`?,GATE> ENTRACE> DOOR
M000203,Quid Anglice significat `vulgus`?,CROWD
M000204,Name the servant who brought Heracles the garment poisoned by his wife.,LICHAS
M000205,What wicked centaur had tricked Deianeira> telling her the poison-potion was a love- potion?,NESSUS
M000206,What brother of Deianeira had asked Heracles to marry her?,MELEAGER
M000207,When recognized by the spotter> perform the following instruction: `Tende manus tuas ad astra.`,(STUDENT SHOULD STRETCH ARMS/HANDS UPWARD)
M000208,Now perform this instruction. `Ridete magna voce .`,(STUDNETS SHOULD ALL LAUGH LOUDLY)
M000209,Now perform this instruction. `Plaudite et oculos vestros claudite.`,(STUDENTS SHOULD CLAP AND CLOSE THEIR EYES)
M000210,Nycteus> Creon> Laius> and Pentheus were all rulers of what Boeotian city founded by Cadmus in the spot where a cow lay down?,THEBES
M000211,Cadmus and Harmonia's children are associated with many of the most famous myths. Which of their children was rescued from death by her divine son Dionysus?,SEMELE
M000212,Who was Cadmus' sister> for whom he had been futilely searching when he founded Thebes?,EUROPA
M000213,Listen to the following sentence> which I will read ONCE> and then answer in English the question that follows. `Conditores huius certaminis per totam noctem vigilabant ad quaestiones scribendas.` The question: how long have the organizers of this certamen been awake in order to write the questions?,THE ENTIRE NIGHT
M000214,Say in Latin> `in the middle of the night.`,IN MEDIA NOCTE
M000215,Say in Latin> `the beginning of the night.`,PRINCIPIUM NOCTIS; INITIUM NOCTIS; ADITUS NOCTIS; AUSPICIUM NOCTIS; INCEPTUM NOCTIS; EXORDIUM NOCTIS
M000216,What Roman king was supposedly married to a water nymph?,NUMA POMPILIUS
M000217,What was her name?,EGERIA
M000218,What was the name of Numa's first wife?,TATIA
M000219,What derivative of a Latin word meaning `wound` means `impossible to harm or damage`?,INVULNERABLE
M000220,What derivative of `traho` means `theoretical` or `hypothetical`?,ABSTRACT
M000221,What word does not belong by derivation? Trap> detract> trail> train.,TRAP
M000222,Translate the following sentence into English: Nauta infelix naves in mari diu navigabat.,FOR A LONG TIME> THE UNLUCKY SAILOR WAS SAILING SHIPS IN THE SEA
M000223,Translate: Tandem nauta et naves ad novam insulam venerunt.,FINALLY> THE SAILOR AND THE SHIPS CAME TO A NEW ISLAND
M000224,Translate: Tum nauta stultus ad terram currebat sed timidi viri in navibus manebant.,THEN> THE FOOLISH SAILOR RAN TO THE LAND BUT THE FRIGHTENED MEN REMAINED IN THE SHIPS
M000225,Out of what primordial cosmic substance did Erebus> Tartarus> Nyx> Gaia> and Eros emerge?,CHAOS
M000226,What creatures were born from the union of Gaia and Tartarus?,GIANTS
M000227,Who was the father of the Titans?,OURANOS; URANUS
M000228,What people defeated the Romans at the Allia River in 390 BC and marched on Rome> sacking and occupying almost all the city?,THE SENONES; GAULS
M000229,Name either the chieftain of the Senones or the Roman commander who eventually retook the city.,BRENNUS or CAMILLUS
M000230,Notably> what hill of Rome did the Senones NOT occupy?,CAPITOLINE
M000231,Please listen to the following sentences which I will read twice and answer in English the questions which follow: olim erat canis nomine ` Pulcher Dan.` Pulcher Dan primus omnium canum erat animal proprium universitatis Yalensis. Pulcher Dan iuvenes Yalenses in multis ludis incitabat. Sed Pulcher Dan senex mortuus est. Nolite lacrimare: corpus huius canis superest in camera gymnasii Yalensis! . The question: what was special about the Handsome Dan of this passage?,FIRST MASCOT; ANIMAL; DOG
M000232,According to the passage> what did Handsome Dan do when alive?,CHEERED ON; ENCOURAGED; INSPIRED; AROUSED THE YALE YOUTH (IN MANY GAMES)
M000233,Where does Handsome Dan's body remain?,IN (A ROOM OF) THE YALE (PAYNE-WHITNEY) GYMNASIUM
M000234,What son of Theseus spurned the love of his step-mother because of his devotion to Artemis?,HIPPOLYTUS
M000235,Who was this step-mother of Hippolytus?,PHAEDRA
M000236,Phaedra wasn't very happy that Hippolytus rejected her. In fact> she subsequently committed suicide and accused the young man of rape. As a result of Phaedra's accusations> Theseus arranged for the death of Hippolytus. Who> according to some writers> revived Hippolytus from the dead?,ASCLEPIUS
M000237,What use of the genitive case is found in the following sentence? `Publius> vir magnae virtutis> tamen timore ictus est.`,GENITIVE OF DESCRIPTION
M000238,What use of the genitive is found in this sentence? `Amor pecuniae saepe mala fecit.`,OBJECTIVE GENITIVE
M000239,Name either of the uses of the genitive found in this sentence. `Nihil timoris mihi est> nam Fortitudo Marci Junii Bruti semper me confirmat.`,PARTITIVE or SUBJECTIVE GENITIVE
M000240,Translate this sentence from Latin to English: Pueri puellaeque iter fecerunt ad Yalium?,THE BOYS AND GIRLS TRAVELED; MADE A JOURNEY TO YALE
M000241,Translate: Discipulus magistrum certiorem facebat.,THE STUDENT INFORMED HIS TEACHER; MADE HIS STUDENTS MORE CONFIDENT
M000242,Translate: Putamus discipulos bene lusuros esse.,WE THINK THAT THE STUDENTS WILL PLAY WELL CONFIDENT
M000243,At which battle in 9 AD did the Germanic leader Arminius annihilate three Roman legions?,TEUTOBERG FOREST
M000244,To which tribe did Arminius belong?,CHERUSCI
M000245,Who was the Roman commander whose legions were annihilated?,QUINCTILIUS VARUS
M000246,Complete the following analogy: verus : veritas :: diligens : __________.,DILIGENTIA
M000247,Complete the following analogy: iratus : ira :: timidus : ______________,TIMOR
M000248,Complete the following analogy: multus : multitūdō :: dulcis : _____________,DULCEDO
M000249,What great warior> originally named Ligyron> was the son of Peleus and Thetis?,ACHILLES
M000250,Which group of warriors did Achilles lead?,MYRMIDONS
M000251,After killing Clytonomous> which son of Menoetius sought shelter with Achilles and became his favorite companion?,PATROCLUS
M000252,Responde Latine: homines multa agunt. Mercator negotium gerit. Quid agricola gerit?,LABORAT IN AGRIS; AGRUM COLIT> ETC.
M000253,Quid ianitor gerit?,IANUAM CUSTODIT
M000254,Quid mango aut venalicius gerit?,SERVOS VENDIT